 python train.py config/train_mitos.py
Overriding config with config/train_mitos.py:
# train a miniature character-level mitos model
# good for debugging and playing on macbooks and such

out_dir = 'out-mitos'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'mitos'
wandb_run_name = 'mini-gpt'

dataset = 'mitos'
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
device = 'cuda'  # run on cpu only
compile = False # do not torch compile the model

use_lora = False
found vocab_size = 182 (inside data/mitos/meta.pkl)
Initializing a new model from scratch
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
WARNING: using slow attention. Flash Attention atm needs PyTorch nightly and dropout=0.0
number of parameters: 10.69M
using fused AdamW: True
step 0: train loss 5.2213, val loss 5.2199
iter 3790: loss 0.2961, time 6703.60ms, mfu 2.11%
iter 3800: loss 0.2688, time 6703.41ms, mfu 2.12%
iter 3810: loss 0.2805, time 6703.32ms, mfu 2.13%
iter 3820: loss 0.2611, time 6710.77ms, mfu 2.14%
iter 3830: loss 0.2479, time 6702.76ms, mfu 2.15%
iter 3840: loss 0.2778, time 6702.84ms, mfu 2.16%
iter 3850: loss 0.2888, time 6699.89ms, mfu 2.17%
iter 3860: loss 0.2775, time 6704.67ms, mfu 2.17%
iter 3870: loss 0.2517, time 6701.63ms, mfu 2.18%
iter 3880: loss 0.2483, time 6702.75ms, mfu 2.18%
iter 3890: loss 0.2791, time 6702.29ms, mfu 2.19%
iter 3900: loss 0.2893, time 6702.84ms, mfu 2.19%
iter 3910: loss 0.2701, time 6703.03ms, mfu 2.20%
iter 3920: loss 0.2988, time 6701.14ms, mfu 2.20%
iter 3930: loss 0.2622, time 6702.58ms, mfu 2.20%
iter 3940: loss 0.2705, time 6704.78ms, mfu 2.21%
iter 3950: loss 0.2771, time 6700.92ms, mfu 2.21%
iter 3960: loss 0.2785, time 6700.99ms, mfu 2.21%
iter 3970: loss 0.2518, time 6702.04ms, mfu 2.21%
iter 3980: loss 0.2655, time 6703.77ms, mfu 2.22%
iter 3990: loss 0.2672, time 6702.01ms, mfu 2.22%
step 4000: train loss 0.1401, val loss 0.9013
iter 4000: loss 0.2670, time 31257.17ms, mfu 2.04%
iter 4010: loss 0.2987, time 6704.80ms, mfu 2.06%
iter 4020: loss 0.2287, time 6703.62ms, mfu 2.08%
iter 4030: loss 0.2888, time 6701.72ms, mfu 2.09%
iter 4040: loss 0.2789, time 6701.40ms, mfu 2.11%
iter 4050: loss 0.2575, time 6701.31ms, mfu 2.12%
iter 4060: loss 0.2605, time 6702.54ms, mfu 2.13%
iter 4070: loss 0.2600, time 6702.12ms, mfu 2.14%
iter 4080: loss 0.2653, time 6704.89ms, mfu 2.15%
iter 4090: loss 0.2645, time 6702.52ms, mfu 2.16%
iter 4100: loss 0.2713, time 6702.78ms, mfu 2.17%
iter 4110: loss 0.2801, time 6702.89ms, mfu 2.17%
iter 4120: loss 0.2645, time 6701.21ms, mfu 2.18%
iter 4130: loss 0.2659, time 6704.52ms, mfu 2.18%
iter 4140: loss 0.2671, time 6700.94ms, mfu 2.19%
iter 4150: loss 0.2448, time 6702.03ms, mfu 2.19%
iter 4160: loss 0.2805, time 6704.11ms, mfu 2.20%
iter 4170: loss 0.2797, time 6702.78ms, mfu 2.20%
iter 4180: loss 0.2692, time 6703.23ms, mfu 2.20%
iter 4190: loss 0.2775, time 6703.34ms, mfu 2.21%
iter 4200: loss 0.2399, time 6703.27ms, mfu 2.21%
iter 4210: loss 0.2719, time 6702.19ms, mfu 2.21%
iter 4220: loss 0.2745, time 6702.13ms, mfu 2.21%
iter 4230: loss 0.2687, time 6701.67ms, mfu 2.22%
iter 4240: loss 0.2548, time 6700.67ms, mfu 2.22%
step 4250: train loss 0.1357, val loss 0.9177
iter 4250: loss 0.2412, time 31253.29ms, mfu 2.04%
iter 4260: loss 0.2653, time 6701.44ms, mfu 2.06%
iter 4270: loss 0.2501, time 6702.37ms, mfu 2.08%
iter 4280: loss 0.2452, time 6702.45ms, mfu 2.09%
iter 4290: loss 0.2584, time 6701.74ms, mfu 2.11%
iter 4300: loss 0.2538, time 6704.91ms, mfu 2.12%
iter 4310: loss 0.2780, time 6702.87ms, mfu 2.13%
iter 4320: loss 0.2619, time 6703.46ms, mfu 2.14%
iter 4330: loss 0.2579, time 6703.68ms, mfu 2.15%
iter 4340: loss 0.2495, time 6702.64ms, mfu 2.16%
iter 4350: loss 0.2652, time 6702.52ms, mfu 2.17%
iter 4360: loss 0.2754, time 6703.03ms, mfu 2.17%
iter 4370: loss 0.2649, time 6701.48ms, mfu 2.18%
iter 4380: loss 0.2738, time 6705.07ms, mfu 2.18%
iter 4390: loss 0.2849, time 6702.64ms, mfu 2.19%
iter 4400: loss 0.2456, time 6701.41ms, mfu 2.19%
iter 4410: loss 0.2611, time 6702.35ms, mfu 2.20%
iter 4420: loss 0.2745, time 6702.46ms, mfu 2.20%
iter 4430: loss 0.2650, time 6702.90ms, mfu 2.20%
iter 4440: loss 0.2507, time 6701.82ms, mfu 2.21%
iter 4450: loss 0.2564, time 6700.59ms, mfu 2.21%
iter 4460: loss 0.2541, time 6703.63ms, mfu 2.21%
iter 4470: loss 0.2411, time 6705.26ms, mfu 2.21%
iter 4480: loss 0.2657, time 6702.45ms, mfu 2.22%
iter 4490: loss 0.2751, time 6703.45ms, mfu 2.22%
step 4500: train loss 0.1324, val loss 0.9284
iter 4500: loss 0.2659, time 31242.50ms, mfu 2.04%
iter 4510: loss 0.2643, time 6701.50ms, mfu 2.06%
iter 4520: loss 0.2700, time 6706.27ms, mfu 2.08%
iter 4530: loss 0.2435, time 6701.98ms, mfu 2.09%
iter 4540: loss 0.2441, time 6701.02ms, mfu 2.11%
iter 4550: loss 0.2477, time 6700.71ms, mfu 2.12%
iter 4560: loss 0.2459, time 6701.91ms, mfu 2.13%
iter 4570: loss 0.2463, time 6701.58ms, mfu 2.14%
iter 4580: loss 0.2509, time 6702.16ms, mfu 2.15%
iter 4590: loss 0.2418, time 6702.51ms, mfu 2.16%
iter 4600: loss 0.2663, time 6704.16ms, mfu 2.17%
iter 4610: loss 0.2871, time 6703.03ms, mfu 2.17%
iter 4620: loss 0.2530, time 6701.07ms, mfu 2.18%
iter 4630: loss 0.2524, time 6702.34ms, mfu 2.18%
iter 4640: loss 0.2781, time 6701.59ms, mfu 2.19%
iter 4650: loss 0.2535, time 6701.94ms, mfu 2.19%
iter 4660: loss 0.2454, time 6700.60ms, mfu 2.20%
iter 4670: loss 0.2744, time 6701.60ms, mfu 2.20%
iter 4680: loss 0.2666, time 6703.01ms, mfu 2.20%
iter 4690: loss 0.2696, time 6703.85ms, mfu 2.21%
iter 4700: loss 0.2683, time 6702.26ms, mfu 2.21%
iter 4710: loss 0.2452, time 6702.06ms, mfu 2.21%
iter 4720: loss 0.2714, time 6698.00ms, mfu 2.21%
iter 4730: loss 0.2605, time 6701.61ms, mfu 2.22%
iter 4740: loss 0.2351, time 6702.57ms, mfu 2.22%
step 4750: train loss 0.1304, val loss 0.9282
iter 4750: loss 0.2386, time 31250.83ms, mfu 2.04%
iter 4760: loss 0.2735, time 6701.18ms, mfu 2.06%
iter 4770: loss 0.2876, time 6701.57ms, mfu 2.08%
iter 4780: loss 0.2743, time 6701.65ms, mfu 2.09%
iter 4790: loss 0.2725, time 6701.28ms, mfu 2.11%
iter 4800: loss 0.2516, time 6701.56ms, mfu 2.12%
iter 4810: loss 0.2759, time 6702.63ms, mfu 2.13%
iter 4820: loss 0.2670, time 6702.05ms, mfu 2.14%
iter 4830: loss 0.2473, time 6702.50ms, mfu 2.15%
iter 4840: loss 0.2718, time 6700.73ms, mfu 2.16%
iter 4850: loss 0.2405, time 6702.88ms, mfu 2.17%
iter 4860: loss 0.2481, time 6702.36ms, mfu 2.17%
iter 4870: loss 0.2728, time 6701.57ms, mfu 2.18%
iter 4880: loss 0.2541, time 6702.14ms, mfu 2.18%
iter 4890: loss 0.2466, time 6702.47ms, mfu 2.19%
iter 4900: loss 0.2675, time 6703.98ms, mfu 2.19%
iter 4910: loss 0.2673, time 6704.67ms, mfu 2.20%
iter 4920: loss 0.2316, time 6702.34ms, mfu 2.20%
iter 4930: loss 0.2554, time 6702.18ms, mfu 2.20%
iter 4940: loss 0.2736, time 6701.36ms, mfu 2.21%
iter 4950: loss 0.2528, time 6701.69ms, mfu 2.21%
iter 4960: loss 0.2385, time 6701.36ms, mfu 2.21%
iter 4970: loss 0.2437, time 6703.19ms, mfu 2.21%
iter 4980: loss 0.2528, time 6702.20ms, mfu 2.22%
iter 4990: loss 0.2707, time 6701.62ms, mfu 2.22%
step 5000: train loss 0.1280, val loss 0.9406
iter 5000: loss 0.2668, time 31249.25ms, mfu 2.04%
(venv_ubuntu) user@DESKTOP-522PKL1:/mnt/c/Users/user/Desktop/LoRAnanoGPT$
